id,text,raw_text,first_pass_label,escalation_suggestion,should_escalate,human_notes,customer_tweet_id,conversation_id,month,flag_month_tail,msg_len,flag_short,flag_long,flag_noisy,flag_ambiguous,stratum_bucket,review_status,intent,label_disagrees_with_first_pass,first_pass_matches
g000,My account got logged out and I can’t get back in. I’ve tried just resetting the password but I get nothing in my email. Help,@SpotifyCares My account got logged out and I can’t get back in. I’ve tried just resetting the password but I get nothing in my email. Help,account_access,False,True,reset email not arriving -> needs account verification,1975169,1975169,2017-11,True,125,False,True,True,False,account_access,reviewed,account_access,False,True
g001,"if I pay for premium the obnoxious ""Shuffle Play"" button should go away.","@115888 if I pay for premium the obnoxious ""Shuffle Play"" button should go away.",subscription_plan,False,False,complaint the shuffle-play button should go away on premium; feedback not a plan change,2686213,2686213,2017-10,True,72,False,True,False,True,subscription_plan,reviewed,feature_and_feedback,True,False
g002,"Thanks for the help but resetting my iPhone worked! Keep doing you, Spotify 💕","@SpotifyCares Thanks for the help but resetting my iPhone worked! Keep doing you, Spotify 💕",technical_issue,False,False,resolved confirmation,587518,587519,2017-12,False,77,False,True,True,True,technical_issue,reviewed,appreciation,True,False
g003,"Thanks for your reply! It's located in the Netherlands, it is. I prefer not to pay by credit card so I only have one option :)","@SpotifyCares Thanks for your reply! It's located in the Netherlands, @419514  it is. I prefer not to pay by credit card so I only have one option :)",device_compatibility,False,True,thread-dependent; payment options/location; low confidence,1280094,1280104,2017-10,True,126,False,True,False,True,device_compatibility,reviewed,payment_billing,True,False
g004,"Currently can't play many songs, ie: QOTSA - Villains album and many others. No reason appears for this, it just won't play","@SpotifyCares Currently can't play many songs, ie: QOTSA - Villains album and many others. No reason appears for this, it just won't play",content_missing,False,False,"songs exist but won't play -> playback behaviour, not availability",842556,842556,2017-10,True,123,False,True,True,True,content_missing,reviewed,playback_issue,True,False
g005,Still skipping and now had a Loreal commercial start playing for about 10 seconds in the middle of a song.,@SpotifyCares Still skipping and now had a Loreal commercial start playing for about 10 seconds in the middle of a song.,playback_issue,False,False,,1261027,1261034,2017-10,True,106,False,True,False,False,playback_issue,reviewed,playback_issue,False,True
g006,my bank account has been charged multiple times and I don’t have Spotify...please help,@SpotifyCares my bank account has been charged multiple times and I️ don’t have Spotify...please help,payment_billing,True,True,"undesired charges, fraud-adjacent",2246159,2246159,2017-11,True,86,False,True,True,False,payment_billing,reviewed,payment_billing,False,True
g007,"hi, my flatmates have suddenly been kicked out our Family account and I can't confirm their addresses :( what can we do? Thanks x","@SpotifyCares hi, my flatmates have suddenly been kicked out our Family account and I can't confirm their addresses :( what can we do? Thanks x",family_plan,True,True,"members kicked, address verification needed",1698019,1698019,2017-11,True,129,False,True,False,True,family_plan,reviewed,family_plan,False,True
g008,"Hi im having a huge problem trying to get on my family plan that i have with my fiance, with whom i can contact to solve it? thanks","@115888 Hi im having a huge problem trying to get on my family plan that i have with my fiance, with whom i can contact to solve it? thanks",family_plan,True,True,,1368569,1368569,2017-10,True,131,False,True,False,True,family_plan,reviewed,family_plan,False,True
g009,"Crazy behavior. Uninstalled, reinstalled, launched the app for the first time, correct icons are there for a split second then back to this.","@SpotifyCares Crazy behavior. Uninstalled, reinstalled, launched the app for the first time, correct icons are there for a split second then back to this.",technical_issue,False,False,,1807113,1807119,2017-10,True,140,False,True,False,False,technical_issue,reviewed,technical_issue,False,True
