id,human_intent,pred_intent,human_escalate,pred_escalate,confidence,intent_correct,escalation_agreement,safe_to_auto,reply_verdict,containment,cosine,reply,escalation_reason
g000,account_access,account_access,True,False,0.85,True,False,True,good,0.5238095238095238,0.5083246494291402,"Hey there, we're here to help! Could you DM us your account's email address and username? We'll take a look backstage",password guidance is self-serve
g001,feature_and_feedback,subscription_plan,False,False,0.6,False,True,False,poor,0.13333333333333333,0.05908935413220491,Hey Bridget! We have the answer to this question right here: 😉,informational plan/premium FAQ
g002,appreciation,technical_issue,False,False,0.6,False,True,False,poor,0.18181818181818182,0.24899527784831194,You're welcome! Let us know if you ever need us again. We'd be...,standard troubleshooting offered
g003,payment_billing,device_compatibility,True,False,0.6,False,False,False,poor,0.11764705882352941,0.032900740512057415,Hey! The cavalry's here. Can you DM us your account's username or email address? We'll take a look under the hood,device_compatibility is informational/acknowledge-only
g004,playback_issue,content_missing,False,False,0.6,False,True,False,poor,0.23529411764705882,0.13344730054431717,"Hey! Can you DM us your account's email address, as well as the Spotify URI of the album you're referring to? We'll check backstage",content_missing is informational/acknowledge-only
g005,playback_issue,playback_issue,False,False,0.85,True,True,True,poor,0.0,0.019100877028628484,"Hey! What device, operating system, and Spotify version are you using? We'll see what we can suggest",standard troubleshooting offered
g006,payment_billing,payment_billing,True,True,0.85,True,True,False,,,,,payment_billing requires account verification or human review
g007,family_plan,family_plan,True,True,0.6,True,True,False,,,,,family_plan requires account verification or human review
g008,family_plan,family_plan,True,True,0.6,True,True,False,,,,,family_plan requires account verification or human review
g009,technical_issue,technical_issue,False,False,0.85,True,True,True,poor,0.0,0.02160530392616627,"Got it. We're glad the app's working fine now though. If this ever happens again, just give us a shout. We'll be right here 🙂",standard troubleshooting offered
g010,payment_billing,payment_billing,True,True,0.6,True,True,False,,,,,payment_billing requires account verification or human review
g011,feature_and_feedback,feature_and_feedback,False,False,0.6,True,True,True,poor,0.1,0.02507579412812043,"Hi Georgina, thanks for the feedback! You can add your vote to the idea at Let us know if there's anything else",feature_and_feedback is informational/acknowledge-only
g012,payment_billing,device_compatibility,True,False,0.6,False,False,False,poor,0.14285714285714285,0.1065596202300966,"Hey Princesa! We can help you here on Twitter. Can you let us know what's happening? Also, could you DM us your account's email address?",device_compatibility is informational/acknowledge-only
g013,account_access,account_access,True,True,0.85,True,True,False,,,,,security/compromise signal
g014,feature_and_feedback,feature_and_feedback,False,False,0.6,True,True,True,good,0.9047619047619048,0.8348675441441745,"Hi Leah! We're currently unable to recover your previous Discover Weekly. Be sure to save favorites, so you don't miss out in the future",feature_and_feedback is informational/acknowledge-only
g015,family_plan,family_plan,True,True,0.6,True,True,False,,,,,family_plan requires account verification or human review
g016,payment_billing,payment_billing,True,True,0.6,True,True,False,,,,,payment_billing requires account verification or human review
g017,other,appreciation,True,False,0.85,False,False,False,poor,0.2727272727272727,0.15839834885724577,Hey Simon! We can help you with your payment query via DM. Sending us your account's email address would be great too,appreciation = no action
g018,account_access,account_access,True,False,0.6,True,False,True,good,0.5294117647058824,0.5252829982570395,"Hey Zoë, help's here! Can you DM us your account's email address? We'll take a closer look",password guidance is self-serve
g019,payment_billing,payment_billing,True,True,0.6,True,True,False,,,,,payment_billing requires account verification or human review
g020,content_missing,content_missing,False,False,0.6,True,True,True,poor,0.05555555555555555,0.023058878121577368,"Hey Jorge! Taylor Swift's 'Reputation' isn't available to stream just yet. For now, check out the singles:",content_missing is informational/acknowledge-only
g021,subscription_plan,subscription_plan,True,False,0.85,True,False,True,good,0.6842105263157895,0.6450412813244066,Hey Chris! Could you send us a DM with your account's email address? We'll take a look backstage,informational plan/premium FAQ
g022,feature_and_feedback,appreciation,False,False,0.85,False,True,False,good,0.6551724137931034,0.8416969556084735,Hey! Our friends in Artist Support are the right folks to help with this. You can get in touch with them here:,appreciation = no action
g023,account_access,account_access,True,True,0.85,True,True,False,,,,,security/compromise signal
g024,payment_billing,payment_billing,True,True,0.6,True,True,False,,,,,payment_billing requires account verification or human review
g025,payment_billing,payment_billing,False,True,0.6,True,False,False,,,,,payment_billing requires account verification or human review
g026,account_access,account_access,False,False,0.6,True,True,True,good,0.5789473684210527,0.5043154087140754,Hi there. We're sorry you feel that way. We'll be happy to help. Can you DM us your account's email address? We'll take a look backstage,password guidance is self-serve
g027,payment_billing,payment_billing,True,True,0.6,True,True,False,,,,,payment_billing requires account verification or human review
g028,content_missing,content_missing,False,False,0.6,True,True,True,good,0.4444444444444444,0.40824923272706315,"Hi Ginger. Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles:",content_missing is informational/acknowledge-only
g029,feature_and_feedback,content_missing,False,False,0.85,False,True,False,poor,0.047619047619047616,0.04467888710392849,"Hey Cooper! The feature is currently available to Premium users, but we'll let the right team know it's something you'd like to see",content_missing is informational/acknowledge-only
g030,family_plan,subscription_plan,True,True,0.6,False,True,False,,,,,promo/cancel flow failing on the account
g031,subscription_plan,subscription_plan,True,False,0.85,True,False,True,poor,0.11764705882352941,0.023287537199126015,Does logging out > restarting the device > logging back in help? Keep us posted,informational plan/premium FAQ
g032,payment_billing,payment_billing,True,True,0.6,True,True,False,,,,,payment_billing requires account verification or human review
g033,payment_billing,payment_billing,True,True,0.6,True,True,False,,,,,payment_billing requires account verification or human review
g034,appreciation,appreciation,False,False,0.85,True,True,True,poor,0.14285714285714285,0.023846456995491642,"Glad to hear! If you ever need anything else, just shout and we'll come running 🏃",appreciation = no action
g035,playback_issue,playback_issue,False,False,0.6,True,True,True,poor,0.030303030303030304,0.027851633897986908,Got it! There's currently a 10k limit in Your Music (Songs + Albums + Artists). More info here: Hope this helps,standard troubleshooting offered
g036,family_plan,content_missing,True,False,0.6,False,False,False,good,0.375,0.4328136524143929,"Hey, help's here! Can you DM us your account's username and email address? We'll do some digging 🔍",content_missing is informational/acknowledge-only
g037,feature_and_feedback,appreciation,False,False,0.85,False,True,False,poor,0.045454545454545456,0.035317841100536256,No worries! Just let us know if we can help with anything else.,appreciation = no action
g038,technical_issue,device_compatibility,False,False,0.85,False,True,False,poor,0.05555555555555555,0.03553587674522635,"Spotify has an app that you can run on your desktop. We have more info at For further questions, you can DM us",device_compatibility is informational/acknowledge-only
g039,account_access,account_access,False,False,0.6,True,True,True,good,0.6666666666666666,0.5852022561369956,"Hi Cyril, we're here to help! Can you DM us with your account's email address? We'll take a look backstage",password guidance is self-serve
g040,account_access,account_access,True,True,0.85,True,True,False,,,,,security/compromise signal
g041,other,other,True,True,0.3,True,True,False,,,,,other requires account verification or human review
g042,technical_issue,technical_issue,False,False,0.6,True,True,True,poor,0.16666666666666666,0.04429512276989472,"Thanks for trying it out. Our friends over should be able to help with this. They can help unlink your PSN from the Spotify account that's associated with it. For anything else, just give us a shout",standard troubleshooting offered
g043,subscription_plan,subscription_plan,False,False,0.85,True,True,True,poor,0.25,0.03606620075651699,"Hey Laura! The 3 months for 0.99 offer is only for new users or to those who haven't had any trial or Premium subscription before. Stay tuned for more deals for existing Premium subscribers, though 🙂",informational plan/premium FAQ
